0	1	2	mean_p	var_p	n_snps	l2_diff	l2_diff_lower	diff_l2	diff_l2_lower
188	3	CCDC174	4.612837653446968e-56	6.6942650828322075e-21	577	19.302519773732982	12.898388711408693	68.62003715907828	48.52169360047003
189	18	CPLX4	1.9371870266033345e-87	6.858608596052708e-37	658	23.631798737879933	15.87929664305144	81.62257567393682	57.71587675696456
190	14	NPAS3	6.177536350602288e-164	3.5749004242448003e-85	1253	27.899155302586237	18.60624890699941	111.55845155268081	78.8837375915884
191	6	QRSL1	2.116537365692215e-45	4.13780466811487e-09	527	19.410811013684977	12.996102504323993	65.96356522780442	46.64328428383518
192	3	KCNMB2	4.104621616920063e-61	5.274790326470246e-16	570	25.08459868341633	17.076788573090134	83.55484078420754	59.08219451948557
193	2	UGT1A8	6.86836944993523e-56	1.1064752737540114e-46	763	31.22826053505979	21.339704374239645	100.99906965900084	71.4171270494233
194	18	SERPINB3	1.8045100332318707e-51	6.053595010000391e-56	527	36.80013171153281	25.126179806062147	87.23395477754522	61.683720972931496
195	10	ACBD7	1.8618790334517275e-56	2.168621579614314e-25	547	20.230662591487203	13.513030870160584	69.32583251437046	49.02076628232611
196	6	TIAM2	1.8711522126461116e-57	8.234611174630107e-43	655	24.664468023643465	16.51947392973088	75.36595483908407	53.291777737327855
197	18	VAPA	4.011043664813453e-80	4.1660247212688737e-35	693	17.837267037164708	11.773240700877821	69.22171603892261	48.94714481650639
198	5	TTC33	1.403141338142512e-63	1.2960413001623573e-05	545	21.126601297063033	14.509576625518761	84.82596287659311	59.98101357072633
199	10	TYSND1	1.7338604108420634e-92	1.274550534412019e-40	664	20.29058992902476	13.50517402004116	75.03037467083348	53.05448672472827
200	8	CSMD1	0.0	3.4226308093267873e-150	3102	51.35409953225067	35.19476465199929	267.03255361907634	188.82052946162796
201	21	ADAMTS5	8.63416763887814e-71	4.76102496795234e-32	676	22.192688406475483	14.872552628568911	77.09408960769129	54.51375355101591
202	20	C20orf85	1.5656689405165785e-35	2.303272553120658e-16	628	19.4385382517829	12.955628000199447	67.13823673820112	47.4739024745048
203	18	ZNF407	9.861275665227473e-93	1.1696544865020993e-57	781	33.758220437525296	22.79156497741844	91.59729237136965	64.76906657413504
